date,m1_fact,m1_need,m1_shift,m1_ruo,m1_vol,m1_MinRate,m1_MaxRate,m1_shift_mad,m1_ruo_mad,m1_Flag_EndOfPeriod,m2_Ключевая_ставка,m2_Спрос,m2_Размещение,m2_Ставка_отсечения,m2_Средневзвешенная_ставка,m2_Срок,m2_Cover_ratio,m2_Rate_spread,m2_Flag_Demand,m2_MAD_score_cover,m2_MAD_score_rate_spread,m3_volume_offer,m3_volume_demand,m3_volume_placement,m3_cover_ratio,m3_yield_avg,m3_yield_spread,m3_flag_nedospros,m3_flag_perespros,m3_mad_score_cover,m3_mad_score_yield,m3_mad_score_yield_spread,m4_year,m4_month,m4_day,m4_day_type_code,m4_n_events_html,m4_n_important,m4_tax_event_weight,m4_Акцизы,m4_Бух отчетность,m4_Валютный контроль,m4_Водный налог,m4_Декларирование спирт,m4_ЕНВД,m4_ЕНП,m4_ЕСХН,m4_Земельный налог,m4_Контролируемые сделки,m4_Косвенные налоги,m4_НДПИ,m4_НДС,m4_НДФЛ,m4_НПД,m4_Налог на доп доход,m4_Налог на игорный бизнес,m4_Налог на имущество орг,m4_Налог на имущество физ,m4_Налог на прибыль,m4_Налог на сверхприбыль,m4_Налоговый мониторинг,m4_Отчетность отходы,m4_Перс учет,m4_Плата НВОС,m4_Подтверждение ОКВЭД,m4_Прослеживаемость,m4_Регулярные платежи недра,m4_Сбор водные биоресурсы,m4_Среднесписочная,m4_Страхование НС и ПЗ,m4_Страховые взносы,m4_Торговый сбор,m4_Транспортный налог,m4_Туристический налог,m4_УСН,m4_Упрощ декларирование,m4_Экологический сбор,m5_liquidity_deficit,m5_liquidity_deficit_ex_corr,m5_corr_accounts,m5_required_reserves,m5_reserve_buffer,m5_treasury_pressure,m5_treasury_pressure_ma7,m5_MAD_score_treasury_pressure,m5_MAD_score_liquidity_deficit,m5_is_month_end,m5_flag_stress,Tax_Week_Flag,Seasonal_Factor_sin,Seasonal_Factor_cos,_raw_stress_teacher,_m4_tax_kick,LSI_teacher,LSI_hgb_abs,LSI_gbr_huber,LSI_xgb_pseudohuber,LSI_lgbm_huber,LSI_cat_huber,LSI_ensemble,LSI_dlinear_tsl,LSI_ensemble_tax_adj,LSI_lgbm_tuned,LSI_lgbm_tuned_tax_adj,LSI_lgbm_local,LSI_local_teacher,LSI_lgbm_local_short_90,LSI_lgbm_local_mid_180,LSI_lgbm_local_long_365,LSI_lgbm_local_multi,LSI_structural,LSI_lgbm_stable,LSI_event_contribution,LSI_lgbm_clean,zone_tuned_naive,zone_stable_hyst,LSI_zone
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.017201575418260506,0.9998520419557735,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.03439806061360801,0.9994082116062598,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.051584366869408364,0.9986686402879997,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.06875540848113941,0.9976335468520451,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.08590610426133272,0.9963032375991965,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,6,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.10303137904317879,0.9946781061893646,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.1201261651823505,0.9927586335250793,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.13718540405660057,0.9905453876091833,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.1542040475626894,0.988039023376751,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
2010-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1,10,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.17117705961019986,0.985240282501282,0.275,0.0,,,,,,,,,,,,,,,,,,,,0.0,,GREEN,GREEN,GREEN
