Дата,Ключевая_ставка,Спрос,Размещение,Ставка_отсечения,Средневзвешенная_ставка,Срок,Cover_ratio,Rate_spread,Flag_Demand
2026-05-08,1450,,,,,,,,0
2026-05-07,1450,,,,,,,,0
2026-05-06,1450,,,,,,,,0
2026-05-05,1450,5427593.6,4130000.0,14.5014,14.5141,7.0,1.3141873123486683,-1435.4859,0
2026-05-04,1450,,,,,,,,0
2026-04-30,1450,,,,,,,,0
2026-04-29,1450,,,,,,,,0
2026-04-28,1450,6937777.9,4590000.0,14.5014,14.5494,7.0,1.5114984531590414,-1435.4506,0
2026-04-27,1450,,,,,,,,0
2026-04-24,1500,,,,,,,,0
2026-04-23,1500,,,,,,,,0
2026-04-22,1500,,,,,,,,0
2026-04-21,1500,5175118.1,4480000.0,15.0,15.0114,7.0,1.1551602901785714,-1484.9886,0
2026-04-20,1500,,,,,,,,0
2026-04-17,1500,,,,,,,,0
2026-04-16,1500,,,,,,,,0
2026-04-15,1500,,,,,,,,0
2026-04-14,1500,5225511.4,4330000.0,15.0,15.013,7.0,1.2068155658198616,-1484.987,0
2026-04-13,1500,,,,,,,,0
2026-04-10,1500,,,,,,,,0
2026-04-09,1500,,,,,,,,0
2026-04-08,1500,,,,,,,,0
2026-04-07,1500,6198663.5,4610000.0,15.0015,15.0151,7.0,1.3446124728850326,-1484.9849,0
2026-04-06,1500,,,,,,,,0
2026-04-03,1500,,,,,,,,0
2026-04-02,1500,,,,,,,,0
2026-04-01,1500,,,,,,,,0
2026-03-31,1500,5896230.3,4220000.0,15.0015,15.0319,7.0,1.397210971563981,-1484.9681,0
2026-03-30,1500,,,,,,,,0
2026-03-27,1500,,,,,,,,0
2026-03-26,1500,,,,,,,,0
2026-03-25,1500,,,,,,,,0
2026-03-24,1500,6461382.9,4090000.0,15.0015,15.0471,7.0,1.5798002200488999,-1484.9529,0
2026-03-23,1500,,,,,,,,0
2026-03-20,1550,,,,,,,,0
2026-03-19,1550,,,,,,,,0
2026-03-18,1550,,,,,,,,0
